Wavelength (nm),266910 %T (Unpolarized),,,,,
620,4.71E-03,,,,,
620.5,7.12E-03,,,,,
621,9.52E-03,,,,,
621.5,1.54E-02,,,,,
622,2.13E-02,,,,,
622.5,3.52E-02,,,,,
623,4.91E-02,,,,,
623.5,8.75E-02,,,,,
624,1.26E-01,,,,,
624.5,2.39E-01,,,,,
625,3.51E-01,,,,,
625.5,7.71E-01,,,,,
626,1.19E+00,,,,,
626.5,2.71E+00,,,,,
627,4.23E+00,,,,,
627.5,9.95E+00,,,,,
628,1.57E+01,,,,,
628.5,3.09E+01,,,,,
629,4.61E+01,,,,,
629.5,6.35E+01,,,,,
630,8.10E+01,,,,,
630.5,8.79E+01,,,,,
631,9.49E+01,,,,,
631.5,9.58E+01,,,,,
632,9.67E+01,,,,,
632.5,9.61E+01,,,,,
633,9.56E+01,,,,,
633.5,9.51E+01,,,,,
634,9.46E+01,,,,,
634.5,9.46E+01,,,,,
635,9.45E+01,,,,,
635.5,9.51E+01,,,,,
636,9.56E+01,,,,,
636.5,9.63E+01,,,,,
637,9.69E+01,,,,,
637.5,9.72E+01,,,,,
638,9.74E+01,,,,,
638.5,9.75E+01,,,,,
639,9.75E+01,,,,,
639.5,9.76E+01,,,,,
640,9.76E+01,,,,,
640.5,9.80E+01,,,,,
641,9.83E+01,,,,,
641.5,9.72E+01,,,,,
642,9.61E+01,,,,,
642.5,8.88E+01,,,,,
643,8.15E+01,,,,,
643.5,6.67E+01,,,,,
644,5.19E+01,,,,,
644.5,3.81E+01,,,,,
645,2.42E+01,,,,,
645.5,1.70E+01,,,,,
646,9.69E+00,,,,,
646.5,6.76E+00,,,,,
647,3.83E+00,,,,,
647.5,2.71E+00,,,,,
648,1.58E+00,,,,,
648.5,1.12E+00,,,,,
649,6.54E-01,,,,,
649.5,4.81E-01,,,,,
650,3.09E-01,,,,,
650.5,2.32E-01,,,,,
651,1.56E-01,,,,,
651.5,1.19E-01,,,,,
652,8.30E-02,,,,,
652.5,6.48E-02,,,,,
653,4.66E-02,,,,,
653.5,3.70E-02,,,,,
654,2.74E-02,,,,,
654.5,2.21E-02,,,,,
655,1.68E-02,,,,,
655.5,1.37E-02,,,,,
656,1.07E-02,,,,,
656.5,8.67E-03,,,,,
657,6.67E-03,,,,,
657.5,5.65E-03,,,,,
658,4.62E-03,,,,,
658.5,3.86E-03,,,,,
659,3.11E-03,,,,,
659.5,2.61E-03,,,,,
660,2.11E-03,,,,,
660.5,1.78E-03,,,,,
661,1.44E-03,,,,,
661.5,1.27E-03,,,,,
662,1.09E-03,,,,,
662.5,9.02E-04,,,,,
663,7.16E-04,,,,,
663.5,6.04E-04,,,,,
664,4.92E-04,,,,,
664.5,4.15E-04,,,,,
665,3.38E-04,,,,,
665.5,3.03E-04,,,,,
666,2.68E-04,,,,,
666.5,2.29E-04,,,,,
667,1.91E-04,,,,,
667.5,1.81E-04,,,,,
668,1.71E-04,,,,,
668.5,1.45E-04,,,,,
669,1.20E-04,,,,,
669.5,8.96E-05,,,,,
670,5.93E-05,,,,,
670.5,7.55E-05,,,,,
671,9.17E-05,,,,,
671.5,7.29E-05,,,,,
672,5.42E-05,,,,,
672.5,4.85E-05,,,,,
673,4.28E-05,,,,,
673.5,3.54E-05,,,,,
674,2.79E-05,,,,,
674.5,4.16E-05,,,,,
675,5.53E-05,,,,,
675.5,3.65E-05,,,,,
676,1.76E-05,,,,,
676.5,1.70E-05,,,,,
677,1.65E-05,,,,,
677.5,2.05E-05,,,,,
678,2.45E-05,,,,,
678.5,2.69E-05,,,,,
679,2.92E-05,,,,,
679.5,1.48E-05,,,,,
680,3.91E-07,,,,,
680.5,3.59E-06,,,,,
681,6.79E-06,,,,,
681.5,5.33E-06,,,,,
682,3.88E-06,,,,,
682.5,1.50E-05,,,,,
683,2.62E-05,,,,,
683.5,1.88E-05,,,,,
684,1.14E-05,,,,,
684.5,1.02E-05,,,,,
685,9.10E-06,,,,,
685.5,2.84E-05,,,,,
686,4.76E-05,,,,,
686.5,3.48E-05,,,,,
687,2.19E-05,,,,,
687.5,9.04E-06,,,,,
688,-3.85E-06,,,,,
688.5,-7.75E-07,,,,,
689,2.30E-06,,,,,
689.5,6.44E-06,,,,,
690,1.06E-05,,,,,
690.5,1.21E-05,,,,,
691,1.35E-05,,,,,
691.5,1.21E-05,,,,,
692,1.06E-05,,,,,
692.5,8.00E-07,,,,,
693,-9.01E-06,,,,,
693.5,4.00E-06,,,,,
694,1.70E-05,,,,,
694.5,6.22E-06,,,,,
695,-4.58E-06,,,,,
695.5,-2.08E-06,,,,,
696,4.11E-07,,,,,
696.5,4.74E-06,,,,,
697,9.06E-06,,,,,
697.5,4.39E-06,,,,,
698,-2.89E-07,,,,,
698.5,1.74E-05,,,,,
699,3.52E-05,,,,,
699.5,2.50E-05,,,,,
700,1.48E-05,,,,,
700.5,1.24E-05,,,,,
701,9.99E-06,,,,,
701.5,1.11E-05,,,,,
702,1.21E-05,,,,,
702.5,2.79E-05,,,,,
703,4.36E-05,,,,,
703.5,1.83E-05,,,,,
704,-7.07E-06,,,,,
704.5,2.93E-06,,,,,
705,1.29E-05,,,,,
705.5,6.44E-06,,,,,
706,-4.94E-08,,,,,
706.5,7.91E-06,,,,,
707,1.59E-05,,,,,
707.5,3.00E-06,,,,,
708,-9.88E-06,,,,,
708.5,-2.25E-05,,,,,
709,-3.51E-05,,,,,
709.5,-1.62E-05,,,,,
710,2.57E-06,,,,,
710.5,-9.34E-06,,,,,
711,-2.12E-05,,,,,
711.5,-3.72E-06,,,,,
712,1.38E-05,,,,,
712.5,1.36E-05,,,,,
713,1.33E-05,,,,,
713.5,5.09E-06,,,,,
714,-3.17E-06,,,,,
714.5,-1.51E-05,,,,,
715,-2.71E-05,,,,,
715.5,-1.46E-06,,,,,
716,2.42E-05,,,,,
716.5,1.66E-05,,,,,
717,9.09E-06,,,,,
717.5,1.48E-05,,,,,
718,2.04E-05,,,,,
718.5,4.04E-06,,,,,
719,-1.23E-05,,,,,
719.5,-8.89E-06,,,,,
720,-5.44E-06,,,,,
720.5,2.14E-06,,,,,
721,9.72E-06,,,,,
721.5,2.27E-06,,,,,
722,-5.19E-06,,,,,
722.5,6.70E-07,,,,,
723,6.53E-06,,,,,
723.5,8.26E-07,,,,,
724,-4.88E-06,,,,,
724.5,-2.14E-05,,,,,
725,-3.79E-05,,,,,
725.5,-8.32E-06,,,,,
726,2.13E-05,,,,,
726.5,1.41E-05,,,,,
727,6.91E-06,,,,,
727.5,2.03E-05,,,,,
728,3.37E-05,,,,,
728.5,3.80E-05,,,,,
729,4.24E-05,,,,,
729.5,3.53E-05,,,,,
730,2.82E-05,,,,,
730.5,9.38E-06,,,,,
731,-9.42E-06,,,,,
731.5,1.89E-05,,,,,
732,4.73E-05,,,,,
732.5,2.50E-05,,,,,
733,2.72E-06,,,,,
733.5,1.13E-05,,,,,
734,1.99E-05,,,,,
734.5,1.11E-05,,,,,
735,2.28E-06,,,,,
735.5,-1.49E-06,,,,,
736,-5.27E-06,,,,,
736.5,-6.68E-06,,,,,
737,-8.09E-06,,,,,
737.5,3.69E-06,,,,,
738,1.55E-05,,,,,
738.5,2.54E-05,,,,,
739,3.53E-05,,,,,
739.5,1.85E-05,,,,,
740,1.63E-06,,,,,
740.5,-1.51E-05,,,,,
741,-3.19E-05,,,,,
741.5,-1.64E-05,,,,,
742,-8.32E-07,,,,,
742.5,2.70E-05,,,,,
743,5.49E-05,,,,,
743.5,3.23E-05,,,,,
744,9.75E-06,,,,,
744.5,9.17E-06,,,,,
745,8.59E-06,,,,,
745.5,-9.89E-06,,,,,
746,-2.84E-05,,,,,
746.5,4.91E-07,,,,,
747,2.94E-05,,,,,
747.5,2.82E-05,,,,,
748,2.70E-05,,,,,
748.5,3.57E-05,,,,,
749,4.43E-05,,,,,
749.5,2.44E-05,,,,,
750,4.43E-06,,,,,
750.5,3.35E-05,,,,,
751,6.25E-05,,,,,
751.5,1.74E-05,,,,,
752,-2.76E-05,,,,,
752.5,1.71E-05,,,,,
753,6.19E-05,,,,,
753.5,2.87E-05,,,,,
754,-4.60E-06,,,,,
754.5,-5.75E-06,,,,,
755,-6.90E-06,,,,,
755.5,-1.75E-05,,,,,
756,-2.81E-05,,,,,
756.5,3.51E-05,,,,,
757,9.82E-05,,,,,
